Latitude,Longitude,City,County,Metro,State,MedianPrice,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
61.2180556,-149.9002778,Anchorage,Anchorage,Anchorage,AK,295400.0,127300.0,189600.0,291200.0,359200.0,482400.0
64.8377778,-147.7163889,Fairbanks,"Fairbanks North Star",Fairbanks,AK,222200.0,,169200.0,240100.0,278200.0,
64.7511111,-147.3494444,"North Pole","Fairbanks North Star",Fairbanks,AK,214400.0,,,221200.0,274600.0,
59.7766667,-151.8313889,"Anchor Point","Kenai Peninsula","",AK,182000.0,,,197700.0,,
60.5544444,-151.2583333,Kenai,"Kenai Peninsula","",AK,207600.0,,,196300.0,275600.0,
60.1041667,-149.4422222,Seward,"Kenai Peninsula","",AK,223200.0,,,203400.0,,
55.3422222,-131.6461111,Ketchikan,"Ketchikan Gateway",Ketchikan,AK,211100.0,,164000.0,229300.0,275300.0,
57.79,-152.4072222,Kodiak,"Kodiak Island","",AK,272600.0,,,,,
30.8829628,-87.7730474,"Bay Minette",Baldwin,Daphne,AL,127500.0,,,125000.0,173000.0,
30.6035255,-87.9036047,Daphne,Baldwin,Daphne,AL,179700.0,,120700.0,163400.0,244100.0,361200.0
30.4143646,-87.5977615,Elberta,Baldwin,Daphne,AL,196700.0,,136100.0,182300.0,330400.0,
30.5229719,-87.9033261,Fairhope,Baldwin,Daphne,AL,263400.0,254200.0,231500.0,226700.0,362800.0,490000.0
30.4065868,-87.6835974,Foley,Baldwin,Daphne,AL,160100.0,,112600.0,159100.0,230600.0,
30.2460361,-87.7008193,"Gulf Shores",Baldwin,Daphne,AL,241800.0,174600.0,201300.0,267200.0,425600.0,654200.0
30.4129759,-87.4369228,Lillian,Baldwin,Daphne,AL,171600.0,,134300.0,166600.0,247200.0,
30.6182476,-87.7530454,Loxley,Baldwin,Daphne,AL,158200.0,,99200.0,146800.0,197800.0,
30.2943681,-87.5735935,"Orange Beach",Baldwin,Daphne,AL,374900.0,239200.0,279500.0,415800.0,640300.0,892600.0
31.0076815,-87.627209,Perdido,Baldwin,Daphne,AL,111000.0,,,118400.0,,
30.5538048,-87.7119324,Robertsdale,Baldwin,Daphne,AL,140200.0,,104500.0,140000.0,184200.0,
30.5151954,-87.4738692,Seminole,Baldwin,Daphne,AL,180700.0,,,180400.0,,
30.5454715,-87.7516559,Silverhill,Baldwin,Daphne,AL,156100.0,,124400.0,153300.0,196500.0,
30.6749127,-87.9152724,"Spanish Fort",Baldwin,Daphne,AL,248600.0,,142200.0,201500.0,305900.0,434200.0
30.742689,-87.7933252,Stapleton,Baldwin,Daphne,AL,158200.0,,,153900.0,,
30.9937926,-87.8580499,Stockton,Baldwin,Daphne,AL,131300.0,,,127200.0,,
30.4876954,-87.6997094,Summerdale,Baldwin,Daphne,AL,143200.0,,108900.0,142400.0,241500.0,
33.7739892,-85.885523,Alexandria,Calhoun,Anniston,AL,120300.0,,,,,
33.8137125,-85.7613536,Jacksonville,Calhoun,Anniston,AL,119600.0,,,168100.0,,
