Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
10509,41.410855,-73.59434,Southeast,Putnam,New York,NY,314300,203800,240600,324400,447900,528400
10512,41.457619,-73.724608,Carmel,Putnam,New York,NY,270200,159400,214500,288200,415700,473200
10541,41.381113,-73.751935,Carmel,Putnam,New York,NY,352600,182900,298300,346400,406200,446500
10562,41.19448,-73.825254,Ossining,Westchester,New York,NY,378900,290900,331900,385200,448100,531900
10573,41.015857,-73.677404,Port Chester,Westchester,New York,NY,561000,329500,465800,551300,663900,828000
10598,41.288223,-73.792203,Yorktown,Westchester,New York,NY,416300,254600,377500,419900,496400,506800
10940,41.446544,-74.478741,Middletown,Orange,New York,NY,168100,90700,133400,170000,215100,217900
10950,41.317346,-74.199881,Town of Monroe,Orange,New York,NY,256900,100700,171700,234200,296800,322700
10954,41.098819,-74.013262,Clarkstown,Rockland,New York,NY,369100,233500,306500,395300,480000,579600
10970,41.180177,-74.102175,Mount Ivy,Rockland,New York,NY,468000,188800,326700,443000,487000,585300
10990,41.267448,-74.364011,Town of Warwick,Orange,New York,NY,285000,171700,206900,255800,400700,465200
11561,40.589081,-73.648178,Long Beach,Nassau,New York,NY,524100,402400,421400,518700,640100,789500
11901,40.926901,-72.643499,Riverhead,Suffolk,New York,NY,344600,284300,322700,346700,413700,475900
12010,42.937632,-74.173325,Town of Amsterdam,Montgomery,Amsterdam,NY,116900,88900,95400,122700,128200,126600
12078,43.134351,-74.339632,Gloversville,Fulton,Gloversville,NY,81000,76600,76800,84800,93500,115100
12401,41.987541,-74.010273,Kingston,Ulster,Kingston,NY,162100,117300,140400,165300,197800,269500
12477,42.092591,-73.98811,Town of Saugerties,Ulster,Kingston,NY,189000,141200,157800,191300,237900,316200
12538,41.79223,-73.893767,Hyde Park,Dutchess,New York,NY,203800,104800,167700,204200,224100,281500
12550,41.539574,-74.057223,Town of Newburgh,Orange,New York,NY,178000,114700,140300,177600,237500,230800
12561,41.759307,-74.096058,Town of New Paltz,Ulster,Kingston,NY,268700,108400,226700,267000,335600,344100
12572,41.924885,-73.863664,Town of Rhinebeck,Dutchess,New York,NY,319900,233300,305600,327900,447400,547200
12601,41.701921,-73.911519,Town of Poughkeepsie,Dutchess,New York,NY,203600,111500,150700,197500,224000,262400
12804,43.340954,-73.685911,Queensbury,Warren,Glens Falls,NY,222000,132200,159000,218400,278400,327500
12866,43.073715,-73.740236,Saratoga Springs,Saratoga,Albany,NY,329200,273900,290100,320200,395900,613300
