Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
10004,40.68863,-74.018244,New York,New York,New York,NY,1460000,,,,,
10005,40.706027,-74.008835,New York,New York,New York,NY,1251900,,,,,
10006,40.709614,-74.012954,New York,New York,New York,NY,858700,,,,,
10007,40.713848,-74.007755,New York,New York,New York,NY,2688100,,,,,
10012,40.725581,-73.998078,New York,New York,New York,NY,2303200,,,,,
10013,40.720103,-74.004903,New York,New York,New York,NY,3102900,,3228500,,,
10014,40.734012,-74.006746,New York,New York,New York,NY,1691700,1230800,2443800,,,
10016,40.745224,-73.978297,New York,New York,New York,NY,1136000,961000,,,,
10017,40.75236,-73.972493,New York,New York,New York,NY,997400,899000,,,,
10025,40.798601,-73.966622,New York,New York,New York,NY,1318000,912800,1500100,2582500,,
10026,40.802381,-73.952681,New York,New York,New York,NY,1091300,,,,,
10038,40.709278,-74.002562,New York,New York,New York,NY,1270400,,,,,
10069,40.775906,-73.990358,New York,New York,New York,NY,1939500,,,,,
10128,40.781432,-73.950013,New York,New York,New York,NY,1391400,929600,1839900,,,
10280,40.708538,-74.01665,New York,New York,New York,NY,844500,750900,,,,
10301,40.627456,-74.094407,New York,Richmond,New York,NY,521200,,,533500,700500,
10302,40.630688,-74.137776,New York,Richmond,New York,NY,424100,,,414400,,
10303,40.629885,-74.17413,New York,Richmond,New York,NY,359700,,334500,370100,,
10304,40.609227,-74.092575,New York,Richmond,New York,NY,511400,,336700,491300,880600,
10305,40.596691,-74.074866,New York,Richmond,New York,NY,488800,,432200,503100,,
10306,40.571768,-74.12595,New York,Richmond,New York,NY,505400,,357500,512700,673100,
10307,40.509183,-74.237785,New York,Richmond,New York,NY,581500,,,572400,,
10308,40.551884,-74.147646,New York,Richmond,New York,NY,509400,,418200,515400,,
10309,40.531346,-74.219857,New York,Richmond,New York,NY,554500,,400700,548300,785300,
10310,40.632648,-74.116148,New York,Richmond,New York,NY,491700,,,452900,541200,
10312,40.545237,-74.180443,New York,Richmond,New York,NY,527800,,359300,525100,677800,
10314,40.599263,-74.165748,New York,Richmond,New York,NY,505800,249800,365300,520400,644800,
10456,40.829881,-73.90812,New York,Bronx,New York,NY,343400,,,,,
10457,40.84715,-73.89868,New York,Bronx,New York,NY,384700,,,,,
10459,40.825867,-73.892942,New York,Bronx,New York,NY,348700,,,,,
10462,40.84328,-73.860389,New York,Bronx,New York,NY,151700,,,,,
10463,40.880678,-73.90654,New York,Bronx,New York,NY,487500,,,,,
10464,40.867787,-73.79992,New York,Bronx,New York,NY,494100,,,,,
10470,40.88953,-73.872662,New York,Bronx,New York,NY,437800,,,,,
10473,40.81869,-73.858474,New York,Bronx,New York,NY,378400,,,,,
10502,41.011602,-73.841433,Ardsley,Westchester,New York,NY,633900,,,594700,734200,
10504,41.128468,-73.707521,North Castle,Westchester,New York,NY,959800,,,837300,1038400,1718100
10506,41.190395,-73.639144,Town of Bedford,Westchester,New York,NY,833600,,,730500,896700,1772400
10507,41.227896,-73.686047,Town of Bedford,Westchester,New York,NY,524200,,,,,
10509,41.410855,-73.59434,Southeast,Putnam,New York,NY,314300,203800,240600,324400,447900,528400
10510,41.139472,-73.835704,Briarcliff Manor,Westchester,New York,NY,699800,,,632200,810100,1023500
10511,41.265428,-73.943192,Buchanan,Westchester,New York,NY,423000,,,,,
10512,41.457619,-73.724608,Carmel,Putnam,New York,NY,270200,159400,214500,288200,415700,473200
10514,41.172153,-73.769196,Chappaqua,Westchester,New York,NY,828600,,530800,693100,919000,
10516,41.461974,-73.874908,Philipstown,Putnam,New York,NY,497200,,387900,486100,584100,
10518,41.266143,-73.588296,Lewisboro,Westchester,New York,NY,556700,,,,,
10520,41.226478,-73.867787,Croton-on-Hudson,Westchester,New York,NY,486800,,,493200,577900,
10522,41.01031,-73.863746,Dobbs Ferry,Westchester,New York,NY,654700,,521900,657300,824900,1121200
10523,41.059341,-73.819457,Elmsford,Westchester,New York,NY,383800,,,393900,430400,
10524,41.375325,-73.926217,Philipstown,Putnam,New York,NY,419800,,318800,385000,619000,
10526,41.288102,-73.668835,Goldens Bridge,Westchester,New York,NY,503300,,,,,
10528,40.975049,-73.724925,Harrison,Westchester,New York,NY,1024400,,,702900,1416500,
10530,41.023712,-73.81281,Hartsdale,Westchester,New York,NY,532200,,,564500,593500,
10532,41.099278,-73.800327,Hawthorne,Westchester,New York,NY,565200,,,560700,573200,
10533,41.036927,-73.854864,Irvington,Westchester,New York,NY,777700,,,703600,822700,1528100
